Year,Issue,Count
2010,1,8
2010,2,9
2010,3,8
2010,4,10
2010,5,9
2010,6,8
2011,1,10
2011,2,9
2011,3,8
2011,4,8
2011,5,7
2011,6,9
2012,1,7
2012,2,7
2012,3,7
2012,4,7
2012,5,8
2012,6,16
2013,1,9
2013,2,9
2013,3,9
2013,4,9
2013,5,10
2013,6,9
2014,1,10
2014,2,9
2014,2S,9
2014,3,8
2014,4,7
2014,5,7
2014,6,9
2015,1,9
2015,2,9
2015,3,10
2015,4,10
2015,5,10
2015,6,9
2016,1,10
2016,1S,7
2016,2,11
2016,3,10
2016,4,9
2016,4S,9
2016,5,9
2016,6,10
2017,1,11
2017,2,10
2017,3,10
2017,4,9
2017,5,10
2017,6,9
2018,1,11
2018,2,9
2018,3,11
2018,4,9
2018,4S,10
2018,5,9
2018,6,9
2019,1,11
2019,2,9
2019,2S,9
2019,3,10
2019,4,9
2019,5,9
2019,6,9
2020,1,10
2020,2,10
2020,3,10
2020,4,10
2020,5,9
2020,6,13
2021,1,10
2021,2,11
2021,3,9
2021,4,9
2021,5,9
2021,6,9
