id,experiential_learning,prosocial_index,social_awareness,age,gpa,income,community_connections,employed_nonprofit
1000,0,80,78,25,2.64,26000,1,0
1001,0,83,75,21,3.7,50800,2,0
1002,1,100,81,27,3.04,22000,2,1
1003,1,100,68,25,2.15,54600,5,1
1004,1,86,69,24,3.29,20000,5,0
1005,0,97,76,23,3.56,28300,6,1
1006,1,95,63,25,3.44,42600,6,1
1007,1,100,72,26,2.88,34800,6,1
1008,0,85,77,20,3.11,42500,2,1
1009,1,97,81,31,2.07,43100,5,1
1010,0,87,66,23,3.02,51800,3,0
1011,0,85,85,27,2.86,15000,5,0
1012,1,97,74,27,3.46,39000,7,1
1013,1,93,65,26,3.71,36100,1,0
1014,0,87,72,23,3.53,45000,4,0
1015,1,100,85,29,3.73,54600,2,1
1016,0,84,77,29,2.97,30100,1,0
1017,1,98,71,24,3.15,69100,3,1
1018,0,86,68,22,2,46500,4,0
1019,1,100,86,27,2.65,32300,9,1
1020,1,100,77,28,4,31300,10,1
1021,0,85,65,32,2.73,15000,5,0
1022,1,100,77,21,2,20600,8,1
1023,1,89,54,22,3.68,35000,4,1
1024,0,87,80,26,2.76,39900,3,1
1025,0,81,78,24,3.06,46200,3,0
1026,0,84,70,28,2.31,30700,1,0
1027,1,82,69,26,2.71,59100,3,0
1028,1,100,96,28,4,48800,4,1
1029,0,91,78,26,3.08,31200,2,1
1030,0,95,67,26,2,60100,3,0
1031,1,100,67,28,3.92,44700,8,0
1032,1,100,85,26,3.59,40600,4,1
1033,1,91,74,24,2.95,37300,3,1
1034,1,100,85,29,3.89,47300,2,1
1035,1,100,74,24,3.77,35500,6,1
1036,1,92,64,24,3.05,39700,7,1
1037,1,95,63,30,3.04,22100,6,1
1038,1,80,49,27,3.35,43100,1,0
1039,1,100,83,26,2.7,31400,2,1
1040,0,85,74,23,2.99,15000,3,1
1041,1,100,81,28,4,40600,3,1
1042,0,77,75,23,2.3,28100,0,0
1043,0,71,64,23,3.57,44100,5,0
1044,1,93,79,24,4,38200,8,1
1045,1,97,56,21,4,48500,6,1
1046,1,100,84,25,2.92,64000,8,1
1047,1,100,76,28,3.22,37500,4,1
1048,1,100,66,23,3.91,50000,4,1
1049,0,79,77,23,2.02,65100,2,0
1050,1,97,59,21,3.99,64300,5,1
1051,0,89,74,26,3.68,24300,3,0
1052,1,100,74,24,3.32,48900,8,1
1053,0,89,83,21,2.98,49900,3,0
1054,0,76,62,23,2.48,43400,1,0
1055,1,100,78,28,3.01,49800,7,1
1056,0,94,88,26,3.48,16200,3,1
1057,0,81,73,25,3.75,60100,2,0
1058,1,100,81,27,2.73,19000,5,1
1059,1,100,76,26,2.84,63000,6,1
1060,0,86,81,22,3.5,23300,2,0
1061,1,92,51,25,4,40000,3,1
1062,1,100,82,27,3.52,31500,11,1
1063,1,99,48,27,3.17,20600,8,1
1064,0,97,84,21,3.48,47400,3,0
1065,1,94,59,25,3.14,46100,10,1
1066,1,100,89,24,3.21,38900,5,1
1067,0,86,88,25,2.43,39800,4,0
1068,0,69,43,24,3.58,41200,4,0
1069,0,75,55,23,3.41,40000,1,0
1070,1,100,85,26,2.76,27500,11,1
1071,0,76,45,26,4,48700,2,0
1072,0,68,49,22,3.63,62100,1,0
1073,0,80,79,22,3.02,29000,6,1
1074,0,100,82,25,3.67,29800,7,1
1075,1,100,72,27,4,55300,3,1
1076,1,100,90,25,3.22,43100,5,1
1077,0,100,81,25,3.78,71000,1,1
1078,0,82,48,22,3.23,15000,3,1
1079,1,100,90,24,2.94,63900,6,1
1080,0,67,43,27,2,45300,5,0
1081,1,98,66,26,3.33,65300,12,1
1082,1,87,50,28,2.91,52300,4,1
